Best Guess,Correct Answer,PMI Score,Question,Reduced Context,Dependencies,Keywords
cloth,cloth,24.897816792367188,he was quietly dressed in a suit of heather tweed with a soft ~ cap which he had laid down upon my books .,was quietly dressed in suit of heather tweed with soft cap which had laid down upon books,cap,cap books heather tweed suit
leaving,watching,9.3355773203004837,"for three hours we strolled about together , ~ the ever-changing kaleidoscope of life as it ebbs and flows through fleet street and the strand .",for three hours strolled about together ever-changing kaleidoscope of life as ebbs flows through,ebbs strolled flows kaleidoscope,hours life kaleidoscope
shouting,shouting,3.5477695910626776,the smoke and ~ were enough to shake nerves of steel .,smoke were enough to shake nerves of steel,enough smoke shake,steel nerves smoke
deposited,proud,7.7578032102271575,"i've always been ~ above my station in life , and disgrace would kill me .",'ve always been above station in life disgrace would kill,and i always been station kill ~,life station disgrace
suspected,reminded,13.235727607811707,"it was , of course , of the very first importance that they should not be ~ of the existence of this paper , otherwise they would naturally destroy it without delay .",was of course very first importance that should not be existence paper otherwise would naturally destroy without delay,be that importance should they not existence,importance course paper delay existence
double-edged,double-edged,10.257089023408355,the photograph becomes a ~ weapon now .,photograph becomes weapon now,now,photograph weapon
funny,violent,4.884569910415804,"if he is ~ , we shall take you away to your aunt's at harrow .",if is shall take away to aunt 's at,is he take if,aunt
hacked,hacked,9.0328646247290472,it had been ~ or torn right out from the roots .,had been torn right out from roots,~s torn had it been or out,roots
scattered,scattered,15.105203759204615,"several discs of metal , old coins apparently , such as i hold here , were ~ over the bottom of the box , but it contained nothing else .",several discs of metal old coins apparently such as hold here were over bottom box contained nothing else,bottom coins but contained were hold apparently,box bottom coins metal discs nothing
clock,clock,25.1903395918333,"there was an old ~ ticking loudly somewhere in the passage , but otherwise everything was deadly still .",there was old ticking loudly somewhere in passage otherwise everything deadly still,was old ticking an,everything passage
